Kanji;Klassifikation;Nr.;Aussprache;Bedeutung;Anmerkung1;Anmerkung2
五;0a4.27;7;itsu.tsu/GO;fünf/5
六;2j2.2;8;mu.ttsu/ROKU;sechs/6
七;0a2.13;9;nana/nana.tsu/SHICHI;sieben/7
八;2o0.1;10;ya.tsu/yat.tsu/HACHI;acht
九;0a2.15;11;kokono.tsu/KU/KYUU;neun/9
十;2k0.1;12;too/JUU;zehn;
円;2r2.1;13;EN;Kreis/Yen
百;4c2.3;14;HYAKU;hundert/100
千;2k1.2;15;chi/SEN;tausend/1000
万;0a3.8;16;MAN/BAN;zehntausend/10000
